Quote,Detail,Episode Name
" ""Hold on when there is nothing in you except the will which says, 'Hold on!'"" – Rudyard Kipling
","Season 13, Episode 1",Wheels Up
 Serial killer ,"Season 13, Episode 2",To A Better Place
" said, ""I believe that the only way to reform people is to kill them.""
","Season 13, Episode 2",To A Better Place
" ""You can't connect the dots looking forward. You can only connect them looking backwards. So you have to trust that they will somehow connect in your future."" – Steve Jobs
","Season 13, Episode 2",To A Better Place
" ""It is unwise to be too sure of one's own wisdom."" – Mahatma Gandhi
","Season 13, Episode 3",Killer App
" ""The murderer survives the victim only to learn that it was himself that he longed to be rid of."" – Thornton Wilder
","Season 13, Episode 3",Killer App
" ""Cruelty, like every other vice, requires no motive outside of itself. It only requires opportunity."" – George Eliot
","Season 13, Episode 4",Blue Angel
": ""A man travels the world over in search of what he needs and returns home to find it."" – George Moore
","Season 13, Episode 4",Blue Angel
" T. S. Eliot wrote, ""This is the way the world ends. Not with a bang, but a whimper.""
","Season 13, Episode 5",The Bunker
" ""Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree."" – Martin Luther
","Season 13, Episode 5",The Bunker
" ""I like to turn things upside down, to watch pictures and situations from another perspective."" – Ursus Wehrli
","Season 13, Episode 6",Lucky Strikes
": ""People like to say that the conflict is between good and evil. The real conflict is between truth and lies."" – Don Miguel Ruiz
","Season 13, Episode 6",Lucky Strikes
" ""When there is pain, there are no words. All pain is the same."" – Toni Morrison
","Season 13, Episode 7",Dust and Bones
" ""Remember, we are our own griefs, my dear, we are our own happiness and we are our own remedies."" – Huseyn Raza
","Season 13, Episode 7",Dust and Bones
 ,"Season 13, Episode 8",Neon Terror
" ""The spectacle is capital accumulated to the point where it becomes image."" – Guy Debord
","Season 13, Episode 8",Neon Terror
 ,"Season 13, Episode 8",Neon Terror
" ""I never travel without my diary. One should always have something sensational to read in the train."" – Oscar Wilde
","Season 13, Episode 8",Neon Terror
 ,"Season 13, Episode 9",False Flag
" ""Once you eliminate the impossible, whatever remains, no matter how improbable, must be the truth."" – Sir Arthur Conan Doyle
","Season 13, Episode 9",False Flag
 ,"Season 13, Episode 9",False Flag
": ""Everyone is entitled to his own opinion, but not to his own facts."" – Daniel Patrick Moynihan
","Season 13, Episode 9",False Flag
 ,"Season 13, Episode 10",Submerged
" A Nakota proverb warns, ""Do not speak of evil for it creates curiosity in the heart of the young.""
","Season 13, Episode 10",Submerged
 ,"Season 13, Episode 10",Submerged
" ""Where there is ruin, there is hope for a treasure."" – Jalal Uddin Rumi
","Season 13, Episode 10",Submerged
": ""My dark secrets are life threatening. Pockets of unhappiness set in aspic that build and build."" – Sue Townsend
","Season 13, Episode 11",Full-Tilt Boogie
": ""I think it's the human spirit inside of all of us that has an enormous capacity to survive."" – Amanda Lindhout
","Season 13, Episode 11",Full-Tilt Boogie
 ,"Season 13, Episode 12",Bad Moon on the Rise
": ""It is the very error of the moon; She comes more nearer earth than she was wont. And makes men mad."" – William Shakespeare
","Season 13, Episode 12",Bad Moon on the Rise
 ,"Season 13, Episode 12",Bad Moon on the Rise
": Curt Siodmak wrote, ""Even a man who is pure in heart and says his prayers by night may become a wolf when the wolfbane blooms and the moon is full and bright.""
","Season 13, Episode 12",Bad Moon on the Rise
 ,"Season 13, Episode 13",Cure
": ""It is impossible to suffer without making someone pay for it; every complaint already contains revenge."" – Friedrich Nietzsche
","Season 13, Episode 13",Cure
 ,"Season 13, Episode 14",Miasma
": ""My wound is geography. It is also my anchorage, my port of call."" – Pat Conroy
","Season 13, Episode 14",Miasma
 ,"Season 13, Episode 14",Miasma
": ""All of us labor in webs spun long before we were born."" – William Faulkner
","Season 13, Episode 14",Miasma
 ,"Season 13, Episode 15",Annihilator
": ""Family quarrels are bitter things. They don't go according to any rules. They're not like aches or wounds, they're more like splits in the skin that won't heal because there's not enough material."" – F. Scott Fitzgerald
","Season 13, Episode 15",Annihilator
 ,"Season 13, Episode 16",Last Gasp
": ""Death is the mother of beauty; hence from her, alone, shall come fulfillment to our dreams and our desires."" – Wallace Stevens
","Season 13, Episode 16",Last Gasp
 ,"Season 13, Episode 17",The Capilanos
": ""Masks are wonderfully paradoxical in this way: while they may hide the physical reality, they can show us how a person wants to be seen."" – Joanna Scott
","Season 13, Episode 17",The Capilanos
": Christopher Marlowe wrote, ""It lies not in our power to love or hate, For will in us is overruled by fate.""
","Season 13, Episode 17",The Capilanos
": ""Perhaps when we find ourselves wanting everything, it is because we are dangerously close to wanting nothing."" – Sylvia Plath
","Season 13, Episode 18",The Dance of Love
": ""No matter how far we travel, the memories will follow in the baggage car."" – August Strindberg
","Season 13, Episode 18",The Dance of Love
": ""Violence is not a catalyst but a diversion."" – Joseph Conrad
","Season 13, Episode 19",Ex Parte
": It is Proverbs that reminds us, ""Do not boast about tomorrow, for you do not know what a day may bring.""
","Season 13, Episode 19",Ex Parte
": ""Holding onto anger is like drinking poison and expecting the other person to die."" – Anonymous
","Season 13, Episode 20",All You Can Eat
": ""Forgiveness is the fragrance that the violet sheds on the heel that has crushed it."" – Mark Twain
","Season 13, Episode 20",All You Can Eat
": ""Convictions are more dangerous foes of truth than lies."" – Friedrich Nietzsche
","Season 13, Episode 21",Mixed Signals
": ""Holding on is believing that there’s only a past; letting go is knowing that there’s a future."" – Daphne Rose Kingma
","Season 13, Episode 21",Mixed Signals
": ""A thing is not necessarily true because a man dies for it."" – Oscar Wilde
","Season 13, Episode 22",Believer
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
	","Season 14, Episode 01",300
"
","Season 14, Episode 01",300
